Year,Mo,Dy,Date1,Date2,Date3,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
2016,5,21,2016-5-21,21/5/2016,"Saturday, 21 May 2016",,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,7,1,,,3,1,100,4,,,7,1,,,3,1,100,4,,
2016,6,9,2016-6-9,9/6/2016,"Thursday, 9 June 2016",,,Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,,,1,1,,,,,,,,,1,1,,,,,,,,
2016,9,27,2016-9-27,27/9/2016,"Tuesday, 27 September 2016",,,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,,,,,44,1,,,,,,,,,44,1,,,,,,
2016,10,8,2016-10-8,8/10/2016,"Saturday, 8 October 2016",,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,,T,,,,,,,,1,,,,,,,,,,1,,
2017,3,15,2017-3-15,15/3/2017,"Wednesday, 15 March 2017",,,Etna,Italy,Italy,37.748,14.999,3320,Stratovolcano,,P,,,,,10,1,,,,,,,,,10,1,,,,
2017,4,13,2017-4-13,13/4/2017,"Thursday, 13 April 2017",,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,2,P,,,,,,,,1,,2,,,,,,,,1,,2
2017,6,6,2017-6-6,6/6/2017,"Tuesday, 6 June 2017",,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,2,P,,,,,,,,2,,,,,,,,,,2,,
2017,7,1,2017-7-1,1/7/2017,"Saturday, 1 July 2017",,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,,,8,1,,,11,1,,,,,8,1,,,11,1,,,,
2017,9,12,2017-9-12,12/9/2017,"Tuesday, 12 September 2017",,,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,,,3,1,,,,,,,,,3,1,,,,,,,,
2017,9,23,2017-9-23,23/9/2017,"Saturday, 23 September 2017",,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,,T,,,,,,,,1,,,,,,,,,,1,,
